ticker,oldest_date,Name_,IncInDt,LastName,FirstName,URL
ACGI,,Amacore Group Inc,1994-05-31 00:00:00.000,Shafer,Jay,http://www.amacoregroup.com/
ACGJ,,ACI Global Corp,1987-09-16 00:00:00.000,Ekstrom,Richard,http://www.demegen.com.
ACGL,2007-08-20,Arch Capital Group Ltd.,2000-09-22 00:00:00.000,Papadopoulo,Nicolas,https://www.archgroup.com/
ACGLN,2021-06-14,,,,,
ACGLO,2017-08-21,,,,,
ACGR,2024-12-10,,,,,
ACGX,,Alliance Creative Group Inc,2000-06-01 00:00:00.000,Sorkin,Paul,https://alliancecreativegroup.com/
ACHC,2011-11-02,Acadia Healthcare Company Inc,2005-10-24 00:00:00.000,Hunter,Christopher,https://www.acadiahealthcare.com/
ACHL,2021-03-31,Achilles Therapeutics PLC (ADR),2020-11-18 00:00:00.000,Ali,Iraj Leo Kiryakos Keverian,https://www.achillestx.com/
ACHR,2021-09-17,Archer Aviation Inc,2020-08-26 00:00:00.000,Adcock,Brett,https://www.archer.com/
ACHV,2017-08-03,Achieve Life Sciences Inc,1995-03-22 00:00:00.000,King,Thomas,http://achievelifesciences.com/
ACI,2020-06-26,Albertsons Companies Inc,2015-06-23 00:00:00.000,Galbato,Chan,https://www.albertsonscompanies.com/
ACI.H,,Amilot Capital Inc,1935-09-23 00:00:00.000,Martin,John,http://www.tolimagold.com
ACIC,2023-08-15,American Coastal Insurance Corp,2007-05-22 00:00:00.000,Peed,R. Daniel,https://www.upcinsurance.com/
ACIO,2019-07-10,,,,,
ACIU,2016-09-23,AC Immune SA,2003-02-13 00:00:00.000,Pfeifer,Andrea,https://www.acimmune.com/
ACIW,2007-08-20,ACI Worldwide Inc,1993-11-02 00:00:00.000,Warsop,Thomas,https://www.aciworldwide.com/
ACLC,2024-12-10,,,,,
ACLO,2024-11-18,,,,,
ACLS,2007-08-20,Axcelis Technologies Inc,1995-12-21 00:00:00.000,Low,Russell,https://www.axcelis.com/
ACLX,2022-02-04,Arcellx Inc,2014-12-18 00:00:00.000,Elghandour,Rami,https://www.arcellx.com/
ACM,2007-08-20,Aecom,1980-01-31 00:00:00.000,Rudd,W. Troy,https://aecom.com/
ACMB,,Agro Capital Management Corp,2013-11-12 00:00:00.000,Liew,Michael,https://acmbinc.com/
ACMR,2017-11-07,ACM Research Inc,2016-09-27 00:00:00.000,Wang,Hui,https://www.acmrcsh.com/
ACMTA,,ACMAT Corp,1951-03-16 00:00:00.000,Nozko,Henry,http://www.acmatcorp.com/
ACN,2007-08-20,Accenture Plc,2009-06-10 00:00:00.000,Sweet,Julie,https://www.accenture.com/ie-en/
ACNB,2007-08-20,ACNB Corp,1982-11-09 00:00:00.000,Helt,James,https://www.acnb.com/
ACNT,2022-08-11,Ascent Industries Co,1988-03-15 00:00:00.000,Kitchen,J.,https://ascentco.com/
ACNV,,Accelera Innovations Inc,2008-04-29 00:00:00.000,Thompson,Geoffrey,http://www.accelerainnovations.com/
ACO.X,,Atco Ltd,1962-08-31 00:00:00.000,Southern-Heathcott,Linda,https://www.atco.com/en-ca.html
ACOG,2024-11-12,Alpha Cognition Inc,2017-11-15 00:00:00.000,Mcfadden,Michael,https://www.alphacognition.com/
ACON,2022-04-22,Aclarion Inc,2008-01-18 00:00:00.000,Ness,Brent,https://aclarion.com/
ACONW,2022-04-22,,,,,
ACP,2011-01-27,abrdn Income Credit Strategies Fund,2010-10-12 00:00:00.000,Citron,Joel,https://www.abrdnacp.com/
ACP.A,2021-05-17,,,,,
ACPS,,AC Partners Inc,2000-11-08 00:00:00.000,Boros,Peter,https://www.acpartnersusa.com/
ACQ,,AutoCanada Inc,2010-03-19 00:00:00.000,Antony,Paul,https://investors.autocan.ca/
ACR,2021-02-17,Acres Commercial Realty Corp,2005-01-31 00:00:00.000,Fentress,Andrew,https://www.acresreit.com/
ACR.C,2021-02-17,,,,,
ACR.D,2021-06-01,,,,,
ACR.H,,Auscan Resources Inc,2013-08-15 00:00:00.000,Auringer,Craig,http://www.bruinpoint.com/
ACRB,,Asia Carbon Industries Inc,2008-06-23 00:00:00.000,Yao,Guo Yun,http://www.asiacarbonindustries.com
ACRE,2012-04-27,,,,,
ACRG,,American Clean Resources Group Inc,2013-03-01 00:00:00.000,Bain,Tawana,https://acrgincorp.com/
ACRS,2015-10-07,Aclaris Therapeutics Inc,2012-07-13 00:00:00.000,Davis,Hugh,https://www.aclaristx.com/
ACRU,,AmeriCrew Inc,2021-10-26 00:00:00.000,Weis,Brian,https://americrew.com/
ACRV,2022-11-15,Acrivon Therapeutics Inc,2018-03-13 00:00:00.000,Blume-Jensen,Peter,https://acrivon.com/
